2025-06-14 12:27:22.292 python[63901:313770] Metal API Validation Enabled
         165505 function calls (161963 primitive calls) in 0.196 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 expat.py:1(<module>)
      600    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
       18    0.000    0.000    0.001    0.000 __init__.py:358(namedtuple)
   129/21    0.000    0.000    0.001    0.000 _compiler.py:37(_compile)
      600    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
      270    0.000    0.000    0.001    0.000 functools.py:36(update_wrapper)
      186    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
      113    0.000    0.000    0.001    0.000 typing.py:379(_remove_dups_flatten)
      369    0.000    0.000    0.001    0.000 typing.py:789(<genexpr>)
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
        1    0.000    0.000    0.001    0.001 stride_tricks.py:1(<module>)
      460    0.000    0.000    0.001    0.000 _inspect.py:96(getargspec)
      246    0.000    0.000    0.001    0.000 typing.py:1307(__init__)
        1    0.000    0.000    0.001    0.001 unix_events.py:1(<module>)
        1    0.000    0.000    0.001    0.001 transformer.py:1(<module>)
      166    0.000    0.000    0.001    0.000 typing.py:351(_deduplicate)
        1    0.000    0.000    0.001    0.001 tasks.py:1(<module>)
        1    0.000    0.000    0.001    0.001 linear.py:1(<module>)
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
     1035    0.000    0.000    0.001    0.000 typing.py:1358(__getattr__)
      201    0.000    0.000    0.001    0.000 {built-in method fromkeys}
       33    0.000    0.000    0.001    0.000 enum.py:251(__set_name__)
      600    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1675(_fill_cache)
      212    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
        1    0.000    0.000    0.000    0.000 _utils_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _globals.py:1(<module>)
        1    0.000    0.000    0.000    0.000 sslproto.py:1(<module>)
       15    0.000    0.000    0.000    0.000 typing.py:1762(copy_with)
        8    0.000    0.000    0.000    0.000 typing.py:2998(__new__)
     7480    0.000    0.000    0.000    0.000 typing.py:1803(<genexpr>)
